name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_long_fraction,min_target_long_fraction,avg_target_short_fraction,avg_realized_vol_pct,p95_realized_vol_pct,vol_capped_share,recovery_boost_active_share,usd_gap_vs_reference,sol_gap_vs_reference,dd_gap_vs_reference
rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,37.94483512676391,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.5551830451960628,0.0,0.0047651129330623255,0.0,0.0,0.0,0.0,-0.00249149720184505,0.00010090838577525574,-0.00027364891770531585
rv336_tv0.018_min0.70,76356.73873366253,611.0983492089838,58.55809258732829,37.93000388959285,2.306992541452571,1.4797582606777007,98,3211,1729.9284650387895,0,False,0.5458235051027155,0.0,0.004894146664535136,0.5617597137106976,1.8048303395232268,0.05042592550300318,0.0,6546.908733662523,52.39634920898379,1.127092587328292
rv336_dd_soft,70588.20873454672,564.931642533387,57.07479092402309,37.927765781869375,2.2890062902346204,1.4797559594693424,82,3402,1587.4826162936638,0,False,0.5380823256900877,0.0,0.004632653527302625,0.5617597137106976,1.8048303395232268,0.11583346655400005,0.0,778.3787345467135,6.22964253338705,-0.3562090759769063
rv336_dd_medium_plus_b,61874.56366745936,495.1945871745447,54.63210940872458,37.818970959010244,2.252684580716764,1.4797502176782602,52,3568,1381.898919369172,0,False,0.526862460621823,0.0,0.004741133213054103,0.5617597137106976,1.8048303395232268,0.15139196565190582,0.0,-7935.266332540639,-63.507412825455276,-2.7988905912754163
rv336_dd_hard_lite_a,58503.375845430455,468.2142924804358,52.246897564694486,37.32175079866479,2.19611607222361,1.4721128726199846,14,3739,1255.0229124172538,0,False,0.5164155509577758,0.0,0.00459611300157581,0.5617597137106976,1.8048303395232268,0.20008221618288533,0.0,-11306.454154569547,-90.4877075195642,-5.184102435305512
rv336_dd_hard_lite_a_rec_t0.900_dd0.20_w0.010,58695.086727928865,469.7485932607352,52.013120925013844,37.317276243432445,2.1961278287980943,1.4718982190821206,16,3841,1258.2863097083914,0,False,0.5169756028390118,0.0,0.004614383264439217,0.5617597137106976,1.8048303395232268,0.1977755954963802,0.00415648480142508,-11114.743272071137,-88.95340673926478,-5.417879074986153
rv336_dd_hard_lite_a_rec_t1.000_dd0.20_w0.010,60391.33291361005,483.3239929060428,52.56848561552864,37.32342477756346,2.204152996971515,1.4721932004220852,14,3786,1290.9117562340455,0,False,0.5172551082757196,0.0,0.004705734578756252,0.5617597137106976,1.8048303395232268,0.19581154223856395,0.0040422956585287875,-9418.49708638995,-75.3780070939572,-4.8625143844713605
rv336_dd_hard_lite_a_rec_t1.075_dd0.20_w0.010,58934.340937707886,471.6633928588066,52.24128553065464,37.322917524853466,2.196491937822411,1.4873907556186945,18,4161,1260.3088481683658,0,False,0.5172893955931066,0.0,0.0045926873272889215,0.5617597137106976,1.8048303395232268,0.1951264073811862,0.004019457829949528,-10875.489062292116,-87.03860714119338,-5.189714469345354
rv336_dd_hard_lite_a_rec_t1.150_dd0.20_w0.010,58468.795334225855,467.9375376888824,51.75260414683688,37.26309099726976,2.2481559914808744,1.4859334295166127,15,4223,1268.3546811599244,0,False,0.5180113724539116,0.0,0.00463493731016055,0.5617597137106976,1.8048303395232268,0.19215748966588256,0.003836755201315459,-11341.034665774147,-90.7644623111176,-5.678395853163117
rv336_dd_hard_lite_a_rec_t1.000_dd0.30_w0.020,58503.96212162371,468.21898456681635,52.246897564694486,37.321751502276484,2.196141361741476,1.4721129063808995,14,3745,1254.3880629737484,0,False,0.5164401016234984,0.0,0.004614383264439218,0.5617597137106976,1.8048303395232268,0.20012789184004384,6.851348573777605e-05,-11305.867878376295,-90.48301543318365,-5.184102435305512
rv336_dd_hard_lite_a_rec_t1.075_dd0.30_w0.020,58473.76981595047,467.97734946739075,52.246897564694486,37.32171524902894,2.195891091443143,1.472111166869339,14,3738,1251.437872758661,0,False,0.5160815477148041,0.0,0.0045892616530020325,0.5617597137106976,1.8048303395232268,0.20295978258387193,6.851348573777605e-05,-11336.06018404953,-90.72465053260925,-5.184102435305512
rv336_dd_hard_lite_a_rec_t1.150_dd0.30_w0.020,56556.67299957565,452.63443777171386,52.246897564694486,37.319334048279174,2.1860392563496864,1.4719969247651756,14,3763,1208.9480628526442,0,False,0.5152354061659425,0.0,0.00459611300157581,0.5617597137106976,1.8048303395232268,0.21079315778655766,6.851348573777605e-05,-13253.157000424355,-106.06756222828614,-5.184102435305512
rv336_dd_hard_lite_a_rec_t1.075_dd0.25_w0.030_vol,58351.582529229825,466.9994600178457,52.22979557394609,37.32171668460424,2.1954124727375377,1.4721112357513237,16,3780,1256.0882792450313,0,False,0.516466936072079,0.0,0.004602964350149588,0.5617597137106976,1.8048303395232268,0.199876675725672,0.0001598648000548108,-11458.247470770177,-91.70253998215429,-5.201204426053906
rv336_dd_hard_lite_a_rec_t1.150_dd0.25_w0.030_vol,58282.40827772576,466.4458445596299,52.16708673645425,37.32171256250748,2.195270256976255,1.4721110379642952,16,3766,1255.6095613600019,0,False,0.516470361746366,0.0,0.004622376504441958,0.5617597137106976,1.8048303395232268,0.19992235138283052,0.0001598648000548108,-11527.421722274245,-92.2561554403701,-5.263913263545746
rv336_dd_medium_plus_b_rec_t0.900_dd0.20_w0.010,60195.44022858502,481.75622431840753,54.774927473444656,37.73718223743656,2.254175623383272,1.4555129538630893,88,3506,1320.1713528445598,0,False,0.5271258143437468,0.0,0.004669194053029437,0.5617597137106976,1.8048303395232268,0.14972480416561992,0.004567565715851736,-9614.389771414979,-76.94577568159247,-2.6560725265553415
rv336_dd_medium_plus_b_rec_t1.000_dd0.20_w0.010,60663.17381306532,485.4995903406588,54.79540353099919,37.81897095901025,2.2505267675050975,1.4797502176782598,54,3587,1359.3054340269218,0,False,0.5273524138359184,0.0,0.004759403475917509,0.5617597137106976,1.8048303395232268,0.14789777787927924,0.004567565715851736,-9146.656186934684,-73.20240965934119,-2.6355964690008093
rv336_dd_medium_plus_b_rec_t1.075_dd0.20_w0.010,61355.11321081814,491.03732061479104,54.83242347615076,37.818970959010215,2.253643003827807,1.479750217678259,54,3693,1374.630203789988,0,False,0.5275089766580491,0.0,0.0049261196245460985,0.5617597137106976,1.8048303395232268,0.14623061639299337,0.004613241373010254,-8454.71678918186,-67.66467938520896,-2.598576523849239
rv336_dd_medium_plus_b_rec_t1.150_dd0.20_w0.010,63377.933827344525,507.2263611632215,54.02805217700736,37.830261531041565,2.2629236259856023,1.454040157383661,25,4147,1414.0687066748615,0,False,0.5287350769468078,0.0,0.004708018361614178,0.5617597137106976,1.8048303395232268,0.14406102267796378,0.004430538744376184,-6431.896172655477,-51.4756388367785,-3.402947822992637
rv336_dd_medium_plus_b_rec_t1.000_dd0.30_w0.020,61732.7494977408,494.0596198298583,54.53032092183406,37.818970959010265,2.251994519297317,1.4797502176782595,52,3595,1379.047778487617,0,False,0.5268538964361058,0.0,0.004704592687327289,0.5617597137106976,1.8048303395232268,0.15164318176627767,0.00011418914289629342,-8077.080502259203,-64.64238017014168,-2.900679078165936
rv336_dd_medium_plus_b_rec_t1.075_dd0.30_w0.020,61142.65479124126,489.33697311917774,54.49492428772557,37.7371822374365,2.2543767276727964,1.4555129538630895,86,3514,1336.6245957373903,0,False,0.5267933761903707,0.0,0.004777673738780917,0.5617597137106976,1.8048303395232268,0.15209993833786284,9.135131431703473e-05,-8667.175208758745,-69.36502688082226,-2.9360757122744303
rv336_dd_medium_plus_b_rec_t1.150_dd0.30_w0.020,62000.71138081756,496.2041727156267,54.45949903228401,37.736005658396884,2.254367922785513,1.4759038673808291,57,3615,1358.4210017835135,0,False,0.5268618896761085,0.0,0.004660058921597735,0.5617597137106976,1.8048303395232268,0.15166601959485693,0.00011418914289629342,-7809.118619182438,-62.49782728437327,-2.97150096771599
rv336_dd_medium_plus_b_rec_t1.075_dd0.25_w0.030_vol,61347.732702647045,490.9782529223453,54.63210940872458,37.81897095901022,2.2492025930931407,1.4797502176782595,52,3595,1370.2840394105096,0,False,0.5268145011818064,0.0,0.004593829218717885,0.5617597137106976,1.8048303395232268,0.1521227761664421,0.00020554045721332817,-8462.097297352957,-67.7237470776547,-2.7988905912754163
rv336_dd_medium_plus_b_rec_t1.150_dd0.25_w0.030_vol,62031.23780208228,496.448481809382,54.87304957642021,37.81897095901022,2.2528198846447918,1.4797502176782593,52,3605,1390.2027787549423,0,False,0.5269321159989897,0.0,0.004696599447324549,0.5617597137106976,1.8048303395232268,0.1488569666796081,0.0002512161143718455,-7778.592197917722,-62.253518190618024,-2.55795042357979
